# AHP values file for use by ahphil.c
# Format:
# Atom  Residue         Value
#------------------------------------

#######################################################################
#  COMMON PROTEIN ATOMS:                                              #
#---------------------------------------------------------------------#
#  Entered by M. Raymer using information from:                       #
#  L.A. Kuhn, C.A. Swanson, M.E. Pique, J.A. Tainer, E.D. Getzoff,    #
#  "Atomic and Residue Hydrophilicity in the Context of Folded        #
#   Protein Structures," Prot: Struct. Funct. Genet. 23:536-547, 1995 #
#######################################################################

#  Neutral Nitrogen: 0.351
CL      AVG    0.511
BR      AVG    0.511
I       AVG    0.511

#------------------------------------------#
# MPD Atoms - determined by Leslie Kuhn    #
#             Added by M. Raymer 3/16/98   #
#   All atoms are uncharged (neutral)      #
#------------------------------------------#
C1	MPD	0.078
C2	MPD	0.078
C3	MPD	0.078
C4	MPD	0.078
O2	MPD	0.528
O4	MPD	0.528
# END MPD

#------------------------------------------------#
# NAP (NADP+) atoms - determined by Leslie Kuhn  #
#                     Added by M. Raymer 3/98    #
#  The atom names here follow the MSI/InsightII  #
#  naming conventions.  The file pdb2acq.ent     #
#  was read by InsightII, and written in PDB     #
#  format, producing the following  HETATM       #
#  records.                                      #
#                                                #
#  All atoms are neutral except for phosphate-   #
#  associated oxygens O1N, O2N, O1A, O2A, OP1,   #
#  OP2, and OP3.                                 #
#------------------------------------------------#
C1'     NAP	0.078
C1'     NAP	0.078
C2'     NAP	0.078
C2'     NAP	0.078
C2A     NAP	0.078
C2N     NAP	0.078
C3'     NAP	0.078
C3'     NAP	0.078
C3N     NAP	0.078
C4'     NAP	0.078
C4'     NAP	0.078
C4A     NAP	0.078
C4N     NAP	0.078
C5'     NAP	0.078
C5'     NAP	0.078
C5A     NAP	0.078
C5N     NAP	0.078
C6A     NAP	0.078
C6N     NAP	0.078
C7N     NAP	0.078
C8A     NAP	0.078
N1A     NAP	0.351
N1N     NAP	0.351
N3A     NAP	0.351
N6A     NAP	0.351
N7A     NAP	0.351
N7N     NAP	0.351
N9A     NAP	0.351
PA      NAP	0.351
P2'     NAP	0.351
PN      NAP	0.351 
O1A     NAP	0.511
O1N     NAP	0.511
O2A     NAP	0.511
O2N     NAP	0.511
OP1     NAP	0.511
OP2     NAP	0.511
OP3     NAP	0.511
O2'     NAP	0.528
O2'     NAP	0.528
O3      NAP	0.528
O3'     NAP	0.528
O3'     NAP	0.528
O4'     NAP	0.528
O4'     NAP	0.528
O5'     NAP	0.528
O5'     NAP	0.528
O7N     NAP	0.528
# END NAP

#-----------------------#
# CO3 - Carbonate Ion   #
#  Added by M. Raymer   #
#  3/98                 #
#-----------------------#
C	CO3	0.078
O1	CO3	0.511
O2	CO3	0.511
O3	CO3	0.511
